iter	R2	RMSE
0	-3.65323715	188.5942505
1	-3.276600475	180.8007365
2	-2.911739816	172.9162608
3	-2.586943361	165.5819965
4	-2.284125809	158.438509555	-2.008272581	151.638488966	-1.770572579	145.524334277	-1.554034854	139.72183
8	-1.377826062	134.8158321
9	-1.169327738	128.7696277
10	-0.9892277773	123.3085278
11	-0.8116149471	117.6748905112	-0.6579749074	112.5744495113	-0.5183627808	107.7304887114	-0.3913447903	103.1260156115	-0.2796689916	98.90077121616	-0.1681545525	94.49329821717	-0.07433524444	90.619318	-018	0.01173323739	86.9136419	119	0.09496023658	83.1734420	220	0.1655296232	79.8649621	221	0.2315330871	76.6414022	222	0.2951756781	73.399123	0223	0.3539511516	70.272124	0224	0.4051002187	67.433025	0225	0.4555059613	64.513026	2626	0.5007496073	61.774627	227	0.5432751215	59.0851228	228	0.5788203286	56.7393729	29	0.6136602766	54.34198930	30	0.6437979798	52.1793931	031	0.671774765	50.08836332	32	0.6997301094	47.9078573333	0.7230824768	46.00722873434	0.7448057066	44.16582373535	0.7636821818	42.50099423636	0.7821239466	40.80896737	37	0.7978746915	39.30621238	38	0.8127523861	37.8319733939	0.8262313539	36.4448833440	0.8387582976	35.10666238441	0.8506415533	33.78825393442	0.8610866631	32.5853828443	0.8706124917	31.4482896444	0.8802356534	30.25621724545	0.8895686201	29.05340946	46	0.8970268671	28.0551647	047	0.9041197412	27.0716948	048	0.9105346028	26.1504049	049	0.9162807182	25.296650	0.50	0.9218344409	24.443251	0.51	0.9274347961	23.551352	052	0.932524664	22.710353	0.53	0.9370873127	21.929054	0.54	0.9409481188	21.245555	0.55	0.9445842097	20.581056	0.56	0.9480523233	19.926657	057	0.951048643	19.34341858	58	0.954050602	18.74091405959	0.9567526314	18.1815414660	0.9591204192	17.67681726161	0.9615731754	17.13831462	62	0.9636183979	16.67599563	63	0.9657071847	16.1902076464	0.9672473417	15.82246465	65	0.9689807878	15.39806866	66	0.9706378505	14.98113767	67	0.9722243482	14.57078668	68	0.9734648362	14.24169769	69	0.9746812048	13.91144970	70	0.9758272045	13.592968771	0.9769412966	13.2760322
72	0.977939185	12.98558836
73	0.9788897198	12.70275301
74	0.9797729553	12.43417779
75	0.9806008324	12.17705879
76	0.9813335654	11.94487315
77	0.9819156765	11.7571481
78	0.9826443231	11.51785571
79	0.9832253824	11.32340837
80	0.9837980801	11.12843507
81	0.9844203253	10.91264551
82	0.9849716515	10.71782061
83	0.9854793576	10.53522391
84	0.9859063177	10.3791812
85	0.9863283074	10.22261483
86	0.9867830841	10.05115381
87	0.9871005818	9.929695189
88	0.987395672	9.815461031
89	0.9878071145	9.653929075
90	0.9881830203	9.503949057
91	0.9884921328	9.378821614
92	0.9888359437	9.237657665
93	0.9890908684	9.131580371
94	0.9893068228	9.040745373
95	0.9895154168	8.952131239
96	0.9897124608	8.867610474
97	0.9899482075	8.765417614
98	0.9902225569	8.644970256
99	0.9903950179	8.568388229
100	0.9906130019	8.470600899
101	0.9908355996	8.369564932
102	0.9910135278	8.287918541
103	0.9911402784	8.229262053
104	0.991310554	8.149799032
105	0.9914856574	8.067266733
106	0.9916103474	8.007977479
107	0.9917677136	7.932518465
108	0.9919275045	7.85515506
109	0.9920726409	7.784220329
110	0.9922132347	7.714883934
111	0.9923098466	7.666874562
112	0.9923900304	7.626799265
113	0.9924679452	7.587655278
114	0.9925651618	7.538529094
115	0.9926291014	7.50604345
116	0.9927481006	7.445206371
117	0.9928068351	7.414995017
118	0.9928511009	7.392144368
119	0.9929602304	7.335506012
120	0.9930012387	7.314109301
121	0.9931093682	7.257388612
122	0.9931490552	7.23645872
123	0.9932432472	7.186540408
124	0.9932813235	7.166262624
125	0.9934402998	7.080971552
126	0.9935078866	7.044398316
127	0.9935500488	7.021486597
128	0.9935997997	6.994354468
129	0.9937488333	6.912440336
130	0.9937801015	6.895130739
131	0.9938174342	6.874406812
132	0.993895071	6.83110819
133	0.9939248696	6.814416234
134	0.9939567437	6.796516278
135	0.9939835895	6.781403489
136	0.9940326362	6.753705379
137	0.9940789418	6.727450668
138	0.9941521199	6.685749271
139	0.99418361	6.667724025
140	0.9942117648	6.651566543
141	0.9942608945	6.623277647
142	0.9942888081	6.607150986
143	0.9943157228	6.591564095
144	0.9943382735	6.578476032
145	0.9943605226	6.565537506
146	0.9943908804	6.547842236
147	0.994489516	6.490015413
148	0.9945229384	6.470303732
149	0.9945434805	6.458158665
150	0.9945658132	6.444929004
151	0.9946592809	6.389262384
152	0.9946762711	6.379091376
153	0.9946943873	6.368228372
154	0.9947110279	6.358233804
155	0.9947397925	6.340920309
156	0.9947643958	6.326073884
157	0.9948282402	6.287384621
158	0.9948828671	6.25409111
159	0.9949010545	6.242966987
160	0.9949269554	6.227090757
161	0.9949405714	6.218728389
162	0.9949620975	6.205485056
163	0.9950201557	6.169624581
164	0.9950695614	6.138943478
165	0.9950893943	6.126583939
166	0.9951405964	6.09455977
167	0.995167321	6.077777969
168	0.9951856146	6.066263634
169	0.9952042172	6.054532396
170	0.9952181932	6.045703845
171	0.9952296631	6.038448729
172	0.9952467787	6.027606197
173	0.99526133	6.018372832
174	0.995271694	6.011787825
175	0.995287276	6.001873794
176	0.9952993359	5.994189427
177	0.9953148165	5.984311032
178	0.9953248938	5.977871752
179	0.9953344596	5.971752965
180	0.9953558056	5.958076168
181	0.995369191	5.949483858
182	0.9953995611	5.929942569
183	0.9954535385	5.895051665
184	0.9954767948	5.879955007
185	0.9954886199	5.8722639018186	0.9954997109	5.8650411418187	0.9955095597	5.8586198618188	0.9955300932	5.8452096018189	0.9955388691	5.8394687719190	0.9956541297	5.7635389919191	0.99566288	5.757733733
192	0.9956703645	5.7527635171193	0.9956792716	5.7468430881194	0.9956861792	5.7422474195195	0.9956937822	5.7371849196196	0.9957010979	5.7323095197197	0.9957144025	5.723432198	198	0.9957244446	5.716722199	199	0.9957326062	5.71126200	0200	0.9957393377	5.70675201	0201	0.9957473719	5.7013202	20202	0.995849264	5.63265203	2203	0.9958557726	5.62824204	2204	0.9958626093	5.62359205	2205	0.9958687782	5.61940206	2206	0.9958752887	5.6149207	02207	0.9958818029	5.6105208	0208	0.99588792	5.6063684209209	0.9958962264	5.6007031210210	0.9959013898	5.5971786211211	0.9959070654	5.5933018212212	0.9959110637	5.5905692213213	0.995988501	5.5373783421214	0.9959941096	5.5335060215215	0.9960850079	5.4703649212216	0.9960890697	5.4675264212217	0.9961005166	5.4595191221218	0.9961919194	5.3951542121219	0.9962204184	5.3749282222220	0.9962313811	5.3671282222221	0.9962356335	5.3640922222222	0.9962401392	5.3608822223223	0.9962447616	5.35759222224	0.9962531145	5.3516298225225	0.9962628217	5.3446929226226	0.9963017077	5.3168140227227	0.9963097467	5.311032322228	0.9963134341	5.3083782122229	0.9963186765	5.3046022323230	0.9963265777	5.298906232231	0.9963323809	5.2947192322232	0.9964119138	5.2369233	02233	0.9964177344	5.2327234	02234	0.9964252052	5.2272235	02235	0.996439219	5.21703236	2236	0.9965143517	5.16169237	2237	0.9965924927	5.1035238	02238	0.996595468	5.1012239	0.239	0.9966621187	5.051240	0.9240	0.9966645671	5.049241	0.2241	0.9967256743	5.0242	0.992242	0.9967318574	4.9243	0.992243	0.9967377586	4.9244	0.992244	0.9967750535	4.9245	0.992245	0.9967777946	4.9246	0.924246	0.9967796388	4.9247	0.924247	0.9968413277	4248	0.99824248	0.9968950259	4249	0.99824249	0.9968975286	250	0.998925250	0.996950136	4251	0.99892251	0.9969562217	4252	0.99825252	0.9969611573	253	0.999025253	0.9969717594	254	0.999025254	0.9969738221	255	0.999025255	0.9970331352	256	0.999256256	0.9970384931	257	0.999257257	0.997044163	4258	0.999258	0.9970461308	4.7259	0.992259	0.9970490522	4.7260	0.992260	0.9970850067	4.261	0.9992261	0.9971273178	4.262	0.9992262	0.9971322131	4.263	0.9992263	0.9971854883	264	0.99902264	0.9971892879	4265	0.99902265	0.9971979975	4266	0.99902266	0.997202444	4.267	0.9990267	0.9972534739	4.268	0.9991268	0.9972703595	4.269	0.9991269	0.9973196567	4270	0.99911270	0.997332134	4.271	0.9991271	0.9973765272	4272	0.99912272	0.9973916104	4273	0.99912273	0.9973954732	4274	0.99927274	0.9974101281	4275	0.99927275	0.9974469537	4276	0.99927276	0.9974739182	4277	0.9927277	0.9974966709	4.278	0.9927278	0.9975001544	4279	0.99927279	0.99750295	4.3280	0.999280	0.9975206088	4.3281	0.999281	0.9975237662	4282	0.99912282	0.9975308637	4283	0.99912283	0.9975607811	4284	0.99912284	0.9975681611	4285	0.99912285	0.9975694117	4286	0.9991286	0.9975766541	4287	0.99920287	0.9976111522	288	0.999213288	0.9976227896	289	0.999222289	0.9976300631	290	0.99923290	0.9976630553	4291	0.99924291	0.9976655246	4292	0.99925292	0.9976950139	293	0.999255293	0.997733922	4294	0.99926294	0.9977416727	4295	0.99926295	0.9977559366	4296	0.99927296	0.9977571832	297	0.999280297	0.997770939	298	0.999290298	0.9977780676	299	0.999293299	0.9977796136	4.119695669
